5126,[2 1 2 0 0 0 1 2 0],-2,-3
10958,[2 1 2 0 0 0 0 2 1],-2,-3
2258,[2 2 1 2 0 0 0 1 0],0,-2
18374,[2 1 1 2 1 0 1 2 2],0,1
14366,[2 0 0 1 0 2 1 0 2],-1,-1
18018,[0 0 1 1 0 2 0 2 2],0,-2
16664,[2 1 0 2 1 2 1 1 2],0,1
11885,[2 1 0 2 2 0 1 2 1],-2,-1
13266,[0 0 1 2 1 0 0 0 2],2,0
13024,[1 0 1 2 1 2 2 2 1],0,1
4823,[2 2 1 1 2 1 0 2 0],0,1
14173,[1 2 2 2 0 1 1 0 2],-2,-1
10761,[0 2 1 2 0 2 2 1 1],-1,-1
15193,[1 0 2 1 1 2 2 0 2],0,1
16749,[0 0 1 2 2 2 1 1 2],0,1
6043,[1 1 2 1 2 0 2 2 0],0,1
11173,[1 1 2 2 2 0 0 2 1],-1,-1
2698,[1 2 2 0 0 2 0 1 0],0,-2
12225,[0 1 2 2 0 2 1 2 1],-2,-1
10374,[0 2 0 0 2 0 2 1 1],0,-3
14274,[0 0 2 0 2 1 1 0 2],0,-3
11737,[1 0 2 2 0 0 1 2 1],0,-2
1960,[1 2 1 0 0 2 2 0 0],-2,-3
16353,[0 0 2 2 0 1 1 1 2],0,-2
1461,[0 1 0 0 0 0 2 0 0],2,0
7045,[1 2 2 2 2 1 0 0 1],-1,-1
4438,[1 0 1 2 0 0 0 2 0],-1,-1
5253,[0 2 1 2 1 0 1 2 0],-1,1
17458,[1 2 1 1 2 2 2 1 2],-1,1
4777,[1 2 2 2 1 1 0 2 0],1,0
5981,[2 1 1 2 1 0 2 2 0],0,1
5866,[1 2 0 1 0 0 2 2 0],-1,-1
13705,[1 2 1 0 1 2 0 0 2],-2,-2
15995,[2 0 1 1 2 2 0 1 2],0,1
2418,[0 2 1 2 2 0 0 1 0],-2,-3
15185,[2 0 1 1 1 2 2 0 2],-2,-1
10709,[2 2 1 0 0 2 2 1 1],-2,-1
14823,[0 0 0 0 0 1 2 0 2],-1,0
5562,[0 0 0 2 2 1 1 2 0],-2,-3
16359,[0 2 2 2 0 1 1 1 2],-2,-1
12819,[0 1 2 0 2 1 2 2 1],0,1
12296,[2 0 1 2 1 2 1 2 1],0,1
1302,[0 2 0 0 1 2 1 0 0],0,2
6567,[0 2 0 0 0 0 0 0 1],2,0
14169,[0 1 2 2 0 1 1 0 2],-2,-2
11118,[0 1 2 0 2 0 0 2 1],0,-3
4164,[0 2 0 1 0 2 2 1 0],-2,-3
10757,[2 0 1 2 0 2 2 1 1],0,1
806,[2 1 2 2 0 0 1 0 0],0,-2
456,[0 2 2 1 2 1 0 0 0],-1,-1
18491,[2 1 2 0 0 1 1 2 2],-1,-1
15012,[0 0 0 1 2 1 2 0 2],-1,-1
61,[1 2 0 2 0 0 0 0 0],-2,-1
19299,[0 1 2 0 1 1 2 2 2],0,1
12171,[0 1 2 0 0 2 1 2 1],-2,-2
5809,[1 1 0 2 2 2 1 2 0],0,1
2877,[0 2 1 1 2 2 0 1 0],-2,-2
4218,[0 2 0 0 1 2 2 1 0],0,-3
2813,[2 1 0 2 1 2 0 1 0],-1,1
17853,[0 2 0 1 1 1 0 2 2],-1,1
13493,[2 0 2 1 1 1 0 0 2],-1,1
13084,[1 2 1 1 2 2 2 2 1],0,1
5745,[0 1 2 2 1 2 1 2 0],-2,-1
2372,[2 1 2 0 2 0 0 1 0],-1,-1
19213,[1 2 1 0 0 1 2 2 2],0,1
18363,[0 1 0 2 1 0 1 2 2],-2,-2
17807,[2 1 1 2 0 1 0 2 2],-1,-1
13650,[0 2 1 1 0 2 0 0 2],0,-2
18904,[1 1 0 1 2 2 1 2 2],0,1
4325,[2 1 0 1 2 2 2 1 0],-1,-1
8733,[0 1 1 2 2 2 2 0 1],0,1
17083,[1 0 2 2 0 1 2 1 2],-1,-1
12915,[0 0 1 1 0 2 2 2 1],-2,-2
13910,[2 1 0 2 0 0 1 0 2],0,-2
11489,[2 1 1 2 0 2 0 2 1],-1,-1
8214,[0 2 0 1 2 0 2 0 1],-1,-1
7236,[0 0 0 1 2 2 0 0 1],0,-4
13869,[0 0 2 0 0 0 1 0 2],-1,0
7794,[0 0 2 0 0 2 1 0 1],-1,1
14063,[2 1 2 1 2 0 1 0 2],0,1
11116,[1 0 2 0 2 0 0 2 1],-1,-1
16198,[1 2 2 2 1 0 1 1 2],1,0
16796,[2 0 0 1 0 0 2 1 2],0,-2
3455,[2 2 2 1 0 2 1 1 0],0,1
16762,[1 1 2 2 2 2 1 1 2],0,1
7145,[2 2 1 0 1 2 0 0 1],-2,-2
3807,[0 0 0 0 2 0 2 1 0],-1,0
9461,[2 0 1 2 2 2 0 1 1],0,1
4574,[2 0 1 1 2 0 0 2 0],-1,-1
19147,[1 1 0 1 2 0 2 2 2],0,1
18685,[1 0 0 2 2 1 1 2 2],-2,-1
13585,[1 1 0 2 2 1 0 0 2],0,-2
411,[0 2 0 0 2 1 0 0 0],1,0
1206,[0 0 2 2 2 1 1 0 0],0,-3
10122,[0 2 2 2 1 2 1 1 1],0,1
17367,[0 2 0 1 1 2 2 1 2],-2,-1
17904,[0 1 0 0 2 1 0 2 2],-1,-1
13122,[0 0 0 0 0 0 0 0 2],0,-3
1034,[2 2 0 2 0 1 1 0 0],0,-2
4047,[0 2 2 2 1 1 2 1 0],-2,-1
7035,[0 2 1 2 2 1 0 0 1],-1,1
17235,[0 0 1 2 2 1 2 1 2],-2,-1
4786,[1 2 0 0 2 1 0 2 0],0,1
10899,[0 0 2 1 2 2 2 1 1],0,1
18910,[1 0 1 1 2 2 1 2 2],0,1
16809,[0 2 1 1 0 0 2 1 2],-2,-2
7020,[0 0 0 2 2 1 0 0 1],0,-4
5703,[0 2 0 1 1 2 1 2 0],0,-1
17746,[1 2 0 0 0 1 0 2 2],-1,-1
19354,[1 1 2 2 1 1 2 2 2],0,1
12524,[2 1 2 1 1 0 2 2 1],-1,0
8125,[1 2 2 0 1 0 2 0 1],0,1
14356,[1 0 2 0 0 2 1 0 2],0,1
350,[2 2 2 0 1 1 0 0 0],0,1
