String,Value,Remoteness
oxox-ox--,Tie,3
o-xx-ox--,Tie,4
-oxx-ox--,Lose,2
ooxx-ox--,Win,1
x---oox--,Win,1
-x--oox--,Tie,5
xx--oox--,Win,1
xxo-oox--,Win,1
--x-oox--,Tie,5
x-x-oox--,Win,1
xox-oox--,Win,1
-xx-oox--,Win,1
oxx-oox--,Lose,2
xx-ooox--,Lose,0
x-xooox--,Lose,0
-xxooox--,Lose,0
---xoox--,Win,1
x--xoox--,Lose,0
-x-xoox--,Tie,4
ox-xoox--,Tie,3
-xoxoox--,Win,1
xxoxoox--,Lose,0
--xxoox--,Tie,4
o-xxoox--,Tie,3
-oxxoox--,Win,1
xoxxoox--,Lose,0
oxxxoox--,Win,1
----xox--,Lose,4
o---xox--,Win,1
-o--xox--,Win,1
xo--xox--,Lose,2
ox--xox--,Lose,2
--o-xox--,Win,3
x-o-xox--,Win,1
xoo-xox--,Win,1
-xo-xox--,Win,1
oxo-xox--,Win,1
o-x-xox--,Lose,0
-ox-xox--,Lose,0
---oxox--,Win,1
x--oxox--,Lose,2
xo-oxox--,Win,1
-x-oxox--,Lose,2
ox-oxox--,Win,1
x-ooxox--,Win,1
-xooxox--,Win,1
xxooxox--,Win,1
--xoxox--,Lose,0
xoxoxox--,Lose,0
oxxoxox--,Lose,0
o--xxox--,Win,3
-o-xxox--,Lose,2
oo-xxox--,Win,1
--oxxox--,Win,1
o-oxxox--,Lose,2
-ooxxox--,Win,1
xooxxox--,Lose,0
oxoxxox--,Win,1
ooxxxox--,Lose,0
o----xx--,Tie,6
-o---xx--,Tie,6
oo---xx--,Win,3
--o--xx--,Tie,6
o-o--xx--,Tie,5
-oo--xx--,Win,5
xoo--xx--,Lose,4
oxo--xx--,Tie,4
oox--xx--,Lose,2
---o-xx--,Tie,6
o--o-xx--,Win,3
-o-o-xx--,Win,3
xo-o-xx--,Tie,4
ox-o-xx--,Lose,4
--oo-xx--,Tie,5
x-oo-xx--,Tie,4
xooo-xx--,Win,3
-xoo-xx--,Tie,4
oxoo-xx--,Win,3
o-xo-xx--,Lose,2
-oxo-xx--,Lose,2
ooxo-xx--,Win,1
oo-x-xx--,Win,1
o-ox-xx--,Win,1
-oox-xx--,Win,1
ooox-xx--,Lose,0
----oxx--,Tie,6
o---oxx--,Win,3
-o--oxx--,Tie,5
xo--oxx--,Win,1
ox--oxx--,Win,1
--o-oxx--,Tie,5
x-o-oxx--,Tie,4
xoo-oxx--,Win,1
-xo-oxx--,Tie,4
oxo-oxx--,Tie,3
o-x-oxx--,Win,1
-ox-oxx--,Win,1
oox-oxx--,Win,1
---ooxx--,Win,3
x--ooxx--,Tie,4
xo-ooxx--,Tie,3
-x-ooxx--,Tie,4
ox-ooxx--,Win,3
x-oooxx--,Tie,3
-xoooxx--,Tie,3
xxoooxx--,Tie,2
--xooxx--,Tie,4
o-xooxx--,Win,1
-oxooxx--,Win,1
xoxooxx--,Win,1
oxxooxx--,Win,1
o--xoxx--,Win,1
-o-xoxx--,Win,1
oo-xoxx--,Lose,2
--oxoxx--,Win,3
o-oxoxx--,Lose,2
-ooxoxx--,Win,1
xooxoxx--,Lose,0
oxoxoxx--,Win,1
ooxxoxx--,Win,1
oo--xxx--,Win,1
o-o-xxx--,Win,1
-oo-xxx--,Win,1
ooo-xxx--,Lose,0
o--oxxx--,Tie,4
-o-oxxx--,Tie,4
oo-oxxx--,Win,1
--ooxxx--,Tie,4
o-ooxxx--,Tie,3
-oooxxx--,Tie,3
xoooxxx--,Tie,2
oxooxxx--,Tie,2
ooxoxxx--,Lose,0
x------o-,Win,5
-x-----o-,Tie,7
xx-----o-,Tie,6
xxo----o-,Tie,5
--x----o-,Win,5
x-x----o-,Lose,4
xox----o-,Win,3
-xx----o-,Tie,6
oxx----o-,Tie,5
xx-o---o-,Win,1
x-xo---o-,Win,1
-xxo---o-,Win,1
xxxo---o-,Lose,0
---x---o-,Win,5
x--x---o-,Win,5
xo-x---o-,Win,1
-x-x---o-,Tie,6
ox-x---o-,Tie,5
x-ox---o-,Win,1
-xox---o-,Tie,5
xxox---o-,Win,3
--xx---o-,Tie,6
o-xx---o-,Win,3
-oxx---o-,Win,3
xoxx---o-,Win,1
oxxx---o-,Win,3
xx--o--o-,Win,1
x-x-o--o-,Win,1
-xx-o--o-,Win,1
xxx-o--o-,Lose,0
x--xo--o-,Win,1
-x-xo--o-,Win,3
xx-xo--o-,Lose,2
xxoxo--o-,Win,1
--xxo--o-,Tie,5
x-xxo--o-,Win,1
xoxxo--o-,Lose,0
-xxxo--o-,Tie,4
oxxxo--o-,Tie,3
----x--o-,Win,5
x---x--o-,Lose,4
xo--x--o-,Win,1
-x--x--o-,Tie,6
ox--x--o-,Tie,5
x-o-x--o-,Win,1
-xo-x--o-,Tie,5
xxo-x--o-,Win,3
--x-x--o-,Lose,4
o-x-x--o-,Win,1
-ox-x--o-,Win,1
xox-x--o-,Lose,2
oxx-x--o-,Win,3
x--ox--o-,Win,1
