xxx----oo,1
oxxx---oo,-1
xxxxo--oo,1
xxo-x--oo,-1
xxxox--oo,1
xxxx-o-oo,1
xxx-xo-oo,1
-x-xxo-oo,-1
--x--x-oo,-1
xox--x-oo,-1
oxx--x-oo,-1
xxxo-x-oo,1
xxx-ox-oo,1
-x-xox-oo,-1
--xxox-oo,-1
xxooxx-oo,-1
---xxx-oo,1
xo-xxx-oo,1
ox-xxx-oo,1
x-oxxx-oo,1
-xoxxx-oo,1
o-xxxx-oo,1
-oxxxx-oo,1
xx-x--ooo,1
x-xx--ooo,1
-xxx--ooo,1
xx--x-ooo,1
x-x-x-ooo,1
-xx-x-ooo,1
x--xx-ooo,1
-x-xx-ooo,1
--xxx-ooo,1
xx---xooo,1
x-x--xooo,1
-xx--xooo,1
x--x-xooo,1
-x-x-xooo,1
xxox-xooo,1
--xx-xooo,1
xoxx-xooo,1
oxxx-xooo,1
x---xxooo,1
-x--xxooo,1
--x-xxooo,1
xx----xoo,-1
x-x---xoo,-1
-xx---xoo,-1
xxxo--xoo,1
x--x--xoo,1
-x-x--xoo,-3
xxox--xoo,1
--xx--xoo,-1
xoxx--xoo,1
xxx-o-xoo,1
xx-xo-xoo,1
x-xxo-xoo,1
x---x-xoo,-1
--x-x-xoo,1
xox-x-xoo,1
oxx-x-xoo,1
xxoox-xoo,-1
x-xox-xoo,1
-xxox-xoo,1
---xx-xoo,-1
xo-xx-xoo,1
ox-xx-xoo,-1
x-oxx-xoo,1
o-xxx-xoo,1
-oxxx-xoo,1
xxx--oxoo,1
xx-x-oxoo,1
x-xx-oxoo,1
-xxx-oxoo,-1
x-x-xoxoo,1
-xx-xoxoo,1
x--xxoxoo,1
--xxxoxoo,1
x----xxoo,-3
-x---xxoo,-3
x-xo-xxoo,-1
-xxo-xxoo,-1
---x-xxoo,-1
xo-x-xxoo,1
x-ox-xxoo,1
-xox-xxoo,-1
xx--oxxoo,-1
--x-oxxoo,-1
x--xoxxoo,1
----xxxoo,-1
xo--xxxoo,-1
ox--xxxoo,-1
o-x-xxxoo,1
-ox-xxxoo,1
x-ooxxxoo,-1
-xooxxxoo,-1
xxooxxxoo,0
--xoxxxoo,1
o--xxxxoo,1
-o-xxxxoo,1
--oxxxxoo,1
xx-o---xo,-1
-xxo---xo,-1
--ox---xo,-3
-x--o--xo,-3
xxo-o--xo,-1
oxx-o--xo,1
xxxoo--xo,1
ox-xo--xo,1
-xoxo--xo,-1
o-xxo--xo,1
ox--x--xo,1
-xo-x--xo,1
o-x-x--xo,-1
-x-ox--xo,1
xxoox--xo,1
--xox--xo,-1
